timestamp,user,device_id,device_type,manufacturer,bytes_written,session_duration,file_types,src_ip,action,result,hour,day_of_week,is_anomaly,anomaly_type
2025-06-06 00:05:26,vikram.joshi,Western_Digital_SD_Card_QWGWZ2IO,SD_Card,Western_Digital,225746248,6,software,192.168.1.13,write,success,0,4,1,moderate
2025-06-06 00:06:22,arjun.singh,Seagate_SD_Card_0JEQ78CV,SD_Card,Seagate,15523627,1,software,192.168.6.139,write,success,0,4,0,normal
2025-06-06 00:07:49,rajesh.sharma,SanDisk_Portable_Drive_03N4R552,Portable_Drive,SanDisk,2865222001,69,images,192.168.5.84,read,success,0,4,0,normal
2025-06-06 00:59:13,ananya.nair,Seagate_SD_Card_7CVUB1AA,SD_Card,Seagate,152521927,2,mixed,192.168.1.14,write,success,0,4,0,normal
2025-06-06 01:06:04,vikram.joshi,SanDisk_USB_SSD_34LZ7BXI,USB_SSD,SanDisk,684646382,12,backup,192.168.4.16,write,success,1,4,0,normal
2025-06-06 01:55:58,rajesh.sharma,PNY_Portable_Drive_ULS0OSQ7,Portable_Drive,PNY,1211648554,37,documents,192.168.9.42,write,success,1,4,0,normal
2025-06-06 01:59:31,priya.patel,Lexar_SD_Card_DBDZLU9E,SD_Card,Lexar,436348626,15,images,192.168.6.118,write,success,1,4,1,high_volume
2025-06-06 02:01:39,ananya.nair,Seagate_USB_Flash_Drive_AC2DFVLZ,USB_Flash_Drive,Seagate,43541686,1,backup,192.168.2.105,write,success,2,4,0,normal
2025-06-06 02:44:58,rohit.gupta,Seagate_External_HDD_GE32O0JO,External_HDD,Seagate,1955585236,62,backup,192.168.1.163,write,success,2,4,0,normal
2025-06-06 03:08:15,amit.kumar,Lexar_USB_Flash_Drive_XBJZ933U,USB_Flash_Drive,Lexar,15860917,1,videos,192.168.3.46,write,success,3,4,0,normal
2025-06-06 03:42:59,rajesh.sharma,Seagate_USB_Flash_Drive_TWIBT8PA,USB_Flash_Drive,Seagate,99415492,1,data,192.168.6.124,write,success,3,4,0,normal
2025-06-06 04:33:19,priya.patel,PNY_USB_SSD_J05XVO4V,USB_SSD,PNY,591227364,5,documents,192.168.10.189,write,success,4,4,0,normal
2025-06-06 04:50:36,ravi.mehta,Seagate_USB_SSD_729H602W,USB_SSD,Seagate,720096049,11,software,192.168.5.197,write,success,4,4,0,normal
2025-06-06 04:51:57,ravi.mehta,PNY_USB_Flash_Drive_515C1EL0,USB_Flash_Drive,PNY,159370909,4,videos,192.168.4.67,read,success,4,4,1,moderate
2025-06-06 05:24:31,ananya.nair,Western_Digital_USB_Flash_Drive_4VPOASB3,USB_Flash_Drive,Western_Digital,36170465,1,software,192.168.7.147,write,success,5,4,0,normal
2025-06-06 05:53:42,rohit.gupta,Seagate_SD_Card_47QAYLPF,SD_Card,Seagate,128627729,4,software,192.168.6.180,write,success,5,4,0,normal
2025-06-06 06:22:13,ravi.mehta,Lexar_Portable_Drive_FJ48S55T,Portable_Drive,Lexar,224830883,8,software,192.168.10.183,write,success,6,4,0,normal
